Chemical Shift (ppm),Intensity,Integral
0.99,-0.03,13.92
0.991,-0.04,13.92
0.992,-0.04,13.92
0.993,-0.04,13.92
0.994,-0.04,13.92
0.995,-0.04,13.92
0.996,-0.03,13.92
0.997,-0.04,13.92
0.998,-0.04,13.92
0.999,-0.04,13.92
1.0,-0.04,13.92
1.001,-0.04,13.92
1.002,-0.04,13.92
1.003,-0.03,13.92
1.004,-0.03,13.92
1.005,-0.03,13.92
1.006,-0.03,13.92
1.007,-0.02,13.92
1.008,-0.02,13.92
1.009,-0.02,13.92
1.015,0.02,13.92
1.016,0.02,13.92
1.017,0.03,13.92
1.018,0.03,13.92
1.019,0.03,13.92
1.02,0.03,13.92
1.021,0.03,13.92
1.022,0.02,13.92
1.026,-0.02,13.92
1.027,-0.03,13.92
1.028,-0.03,13.92
1.029,-0.04,13.92
1.03,-0.03,13.92
1.031,-0.03,13.92
1.032,-0.03,13.92
1.033,-0.03,13.92
1.034,-0.04,13.92
1.035,-0.04,13.92
1.036,-0.04,13.92
1.037,-0.04,13.92
1.038,-0.03,13.92
1.039,-0.03,13.92
1.04,-0.03,13.92
1.041,-0.03,13.92
1.042,-0.03,13.92
1.043,-0.02,13.92
1.044,-0.02,13.92
1.053,0.02,13.92
1.054,0.02,13.92
1.055,0.02,13.92
1.056,0.02,13.92
1.069,0.02,13.92
1.07,0.03,13.92
1.071,0.04,13.92
1.072,0.06,13.92
1.073,0.08,13.92
1.074,0.11,13.92
1.075,0.15,13.92
1.076,0.23,13.92
1.077,0.27,13.92
1.078,0.21,13.92
1.079,0.13,13.92
1.08,0.07,13.92
1.081,0.05,13.92
1.082,0.03,13.92
1.083,0.02,13.92
1.097,0.02,13.92
1.098,0.02,13.92
1.099,0.02,13.92
1.1,0.02,13.92
1.101,0.02,13.92
1.102,0.03,13.92
1.103,0.03,13.92
1.104,0.03,13.92
1.105,0.03,13.91
1.106,0.03,13.91
1.107,0.04,13.91
1.108,0.04,13.91
1.109,0.03,13.91
1.11,0.03,13.91
1.111,0.02,13.91
1.112,0.02,13.91
1.113,0.02,13.91
1.136,0.02,13.91
1.137,0.02,13.91
1.138,0.02,13.91
1.139,0.02,13.91
1.14,0.02,13.91
1.141,0.02,13.91
1.142,0.02,13.91
1.143,0.02,13.91
1.144,0.02,13.91
1.145,0.02,13.91
1.146,0.02,13.91
1.147,0.03,13.91
1.148,0.03,13.91
1.149,0.04,13.91
1.15,0.06,13.91
1.151,0.09,13.91
1.152,0.09,13.91
1.153,0.07,13.91
1.154,0.05,13.91
1.155,0.04,13.91
1.156,0.04,13.91
1.157,0.03,13.91
1.158,0.03,13.91
1.159,0.03,13.91
1.16,0.03,13.91
1.161,0.03,13.91
1.162,0.04,13.91
1.163,0.05,13.91
1.164,0.06,13.91
1.165,0.09,13.91
1.166,0.1,13.91
1.167,0.07,13.91
1.168,0.06,13.91
1.169,0.04,13.91
1.17,0.04,13.91
1.171,0.04,13.91
1.172,0.04,13.91
1.173,0.04,13.91
1.174,0.04,13.91
1.175,0.05,13.91
1.176,0.05,13.91
1.177,0.06,13.91
1.178,0.07,13.91
1.179,0.08,13.91
1.18,0.1,13.91
1.181,0.13,13.91
1.182,0.21,13.91
1.183,0.29,13.91
1.184,0.31,13.9
1.185,0.25,13.9
1.186,0.18,13.9
1.187,0.13,13.9
1.188,0.11,13.9
1.189,0.1,13.9
1.19,0.1,13.9
1.191,0.11,13.9
1.192,0.14,13.9
1.193,0.19,13.9
1.194,0.22,13.9
1.195,0.21,13.9
1.196,0.18,13.9
1.197,0.14,13.9
1.198,0.1,13.9
1.199,0.09,13.9
1.2,0.07,13.9
1.201,0.07,13.9
1.202,0.06,13.9
1.203,0.06,13.9
1.204,0.06,13.9
1.205,0.06,13.9
1.206,0.06,13.9
1.207,0.07,13.9
1.208,0.07,13.9
1.209,0.08,13.9
1.21,0.08,13.9
1.211,0.07,13.9
1.212,0.07,13.9
1.213,0.06,13.9
1.214,0.07,13.89
1.215,0.07,13.89
1.216,0.07,13.89
1.217,0.07,13.89
1.218,0.08,13.89
1.219,0.09,13.89
1.22,0.1,13.89
1.221,0.11,13.89
1.222,0.13,13.89
1.223,0.14,13.89
1.224,0.14,13.89
1.225,0.14,13.89
1.226,0.14,13.89
1.227,0.14,13.89
1.228,0.16,13.89
1.229,0.2,13.89
1.23,0.23,13.89
1.231,0.25,13.89
1.232,0.24,13.89
1.233,0.2,13.89
1.234,0.16,13.89
