Wavenumber (cm-1),Transmittance (%)
3170.936437,41.61332301
3170.936437,40.98973508
3170.936437,40.36614715
3170.936437,39.74255922
3168.410179,38.96287237
3168.410179,38.33928444
3168.410179,37.71569651
3168.410179,37.09210858
3168.410179,36.62441764
3163.357663,36.15632281
3163.357663,35.53273488
3163.357663,34.90914695
3163.357663,34.28555903
3163.357663,33.6619711
3163.357663,33.03838317
3163.357663,32.41479524
3163.357663,31.79120731
3163.357663,31.16761938
3163.357663,30.54403145
3163.357663,29.92044352
3163.357663,29.29685559
3163.357663,28.67326767
3163.357663,28.04967974
3163.357663,27.42609181
3163.357663,26.80250388
3163.357663,26.17891595
3163.357663,25.55532802
3163.357663,24.93174009
3163.357663,24.30815216
3163.357663,23.68456423
3163.357663,23.0609763
3163.357663,22.43738838
3163.357663,21.81380045
3163.357663,21.19021252
3163.357663,20.56662459
3163.357663,19.94303666
3163.357663,19.31944873
3163.357663,18.6958608
3163.357663,18.22816986
3158.305147,17.76007503
3158.305147,17.1364871
3158.305147,16.51289917
3158.305147,15.88931124
3158.305147,15.26572332
3158.305147,14.64213539
3158.305147,14.01854746
3158.305147,13.39495953
3158.305147,12.7713716
3158.305147,12.14778367
3158.305147,11.52419574
3158.305147,10.90060781
3158.305147,10.27701988
3158.305147,9.653431955
3158.305147,9.029844026
3158.305147,8.406256097
3153.25263,7.78226429
3153.25263,7.158676361
3153.25263,6.535088432
3150.726372,5.911298564
3148.200114,5.287508696
3143.147598,15.57630564
3143.147598,14.95271772
3143.147598,14.32912979
3143.147598,13.70554186
3143.147598,13.08195393
3143.147598,12.458366
3143.147598,11.83477807
3143.147598,11.21119014
3143.147598,10.58760221
3143.147598,9.964014285
3143.147598,9.340426356
3143.147598,8.716838427
3143.147598,8.093250498
3143.147598,7.469662569
3143.147598,6.84607464
3143.147598,6.378383693
3135.568824,21.65568213
3135.568824,21.03209421
3135.568824,20.40850628
3135.568824,19.78491835
3135.568824,19.16133042
3135.568824,18.53774249
3135.568824,17.91415456
3135.568824,17.29056663
3135.568824,16.74492719
3138.095082,16.1994897
3127.99005,16.19868194
3127.99005,15.57509401
3127.99005,14.95150608
3127.99005,14.32791815
3127.99005,13.70433022
3127.99005,13.08074229
3127.99005,12.45715437
3127.99005,11.83356644
3127.99005,11.20997851
3127.99005,10.58639058
3127.99005,10.11869963
3122.937533,9.650604807
3122.937533,9.027016878
3122.937533,8.403428949
3122.937533,7.779841021
3120.411275,7.00015417
3120.411275,6.454514732
3110.306243,8.246522272
3112.832501,7.4672393
3112.832501,6.999548353
3107.779985,14.6380966
3107.779985,14.01450868
3107.779985,13.39092075
3107.779985,12.76733282
3107.779985,12.14374489
3107.779985,11.52015696
3107.779985,10.89656903
3107.779985,10.2729811
3107.779985,9.649393173
3107.779985,9.025805244
3102.727469,22.12074787
3102.727469,21.49715994
3102.727469,20.87357202
3102.727469,20.24998409
3102.727469,19.62639616
3102.727469,19.00280823
3102.727469,18.3792203
3102.727469,17.75563237
3102.727469,17.13204444
3102.727469,16.50845651
3102.727469,15.88486858
3102.727469,15.26128065
3095.148694,24.61449377
3095.148694,23.99090584
3097.674952,23.36751985
3097.674952,22.74393192
3085.043662,24.37984054
3087.56992,23.83440304
3082.517404,24.92527804
3074.93863,24.14518731
3074.93863,23.52159938
3074.93863,22.89801145
3074.93863,22.27442353
3074.93863,21.6508356
3072.412372,20.87114875
3067.359855,38.33120688
3067.359855,37.70761895
3067.359855,37.08403102
3067.359855,36.46044309
3067.359855,35.83685516
3067.359855,35.21326723
3067.359855,34.5896793
3067.359855,33.96609138
3067.359855,33.34250345
3067.359855,32.71891552
3067.359855,32.09532759
3067.359855,31.47173966
3067.359855,30.84815173
3067.359855,30.2245638
3067.359855,29.60097587
3067.359855,28.97738794
3067.359855,28.35380002
3067.359855,27.73021209
3067.359855,27.10662416
3067.359855,26.48303623
3067.359855,25.8594483
3067.359855,25.23586037
3067.359855,24.61227244
3062.307339,52.67332537
3062.307339,52.04973744
3062.307339,51.42614951
3062.307339,50.80256158
3062.307339,50.17897365
3062.307339,49.55538572
3062.307339,48.93179779
3062.307339,48.30820986
3062.307339,47.68462193
3062.307339,47.06103401
3062.307339,46.43744608
3062.307339,45.81385815
